MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,AVAILABLE_FLAG,TEAM_ID,TEAM_NAME,Season,FullTeamName,GamesAggregated
44.9,34.5,77.15,0.44805,7.6,20.6,0.36455000000000004,17.35,21.4,0.8051499999999999,9.65,31.0,40.65,18.4,13.2,8.5,5.4,4.05,19.75,19.55,93.95,4.75,1.0,20.8,20.8,20.8,37.15,63.65,60.75,55.25,52.65,57.7,50.85,43.05,44.5,42.45,44.65,53.7,52.85,61.5,36.9,38.45,45.8,43.15,49.9,41.55,64.4,47.95,1.0,1610612759,San Antonio Spurs,2016-17,San Antonio Spurs,20
45.3,35.75,80.5,0.44349999999999995,11.35,30.15,0.36755000000000004,19.3,25.95,0.74375,10.45,33.5,43.95,19.1,14.2,6.9,5.85,4.95,20.3,22.9,102.15,6.45,1.0,14.75,14.75,14.75,34.55,55.65,48.45,54.4,47.9,53.3,46.15,36.65,34.7,44.75,32.45,45.85,40.55,52.8,44.05,40.7,24.35,47.3,50.35,29.8,53.95,39.65,1.0,1610612739,Cleveland Cavaliers,2016-17,Cleveland Cavaliers,20
46.25,36.65,80.65,0.45275,8.2,23.5,0.3417,20.1,25.5,0.7813,10.6,30.8,41.4,18.15,12.9,8.95,4.65,4.4,22.1,21.5,101.6,5.35,1.0,20.25,20.25,20.25,24.3,45.95,45.65,47.9,46.4,46.6,47.55,41.0,41.3,43.35,40.3,49.45,46.95,43.85,41.15,31.65,39.5,37.35,49.8,32.2,48.35,42.45,1.0666666666666667,1610612761,Toronto Raptors,2016-17,Toronto Raptors,20
46.0,36.75,81.4,0.45045,12.35,34.25,0.3589,15.2,20.95,0.7292,11.25,31.55,42.8,22.75,16.9,7.0,4.65,4.65,21.1,18.55,101.05,1.6,1.0,26.65,26.65,26.65,23.75,53.05,55.1,46.45,51.9,60.05,42.8,61.2,60.65,50.8,37.55,48.5,46.95,50.1,53.05,49.45,33.8,36.5,48.2,51.95,62.65,49.85,1.0,1610612745,Houston Rockets,2016-17,Houston Rockets,20
46.1,35.9,77.7,0.46204999999999996,8.0,22.1,0.3374000000000001,21.35,28.5,0.74455,8.75,32.9,41.65,20.25,14.4,9.05,4.8,2.95,22.2,24.85,101.15,6.2,1.0,18.85,18.85,18.85,23.2,52.75,51.3,48.75,51.75,56.4,47.9,35.0,36.7,41.65,41.4,45.55,46.05,50.2,45.05,28.75,28.8,34.3,49.1,31.9,47.85,39.2,1.0,1610612746,LA Clippers,2016-17,LA Clippers,20
46.25,36.55,82.15,0.4455,7.6,22.7,0.32975,16.4,22.0,0.7508000000000001,10.9,30.4,41.3,19.2,14.2,8.25,3.7,4.9,21.6,21.1,97.1,-1.4,1.0,32.2,32.2,32.2,26.4,58.2,48.0,58.35,53.2,50.4,55.65,45.0,42.05,51.6,36.0,50.85,46.9,61.1,42.55,40.15,41.95,42.85,42.7,32.2,64.4,52.65,1.0,1610612764,Washington Wizards,2016-17,Washington Wizards,20
45.6,35.85,78.05,0.45675,8.55,24.65,0.34425,16.55,23.45,0.7070000000000001,10.25,33.05,43.3,22.35,17.9,9.8,5.35,4.2,18.0,21.85,96.8,4.95,1.0,17.45,17.45,17.45,29.1,46.95,54.7,40.75,42.1,46.9,41.75,48.95,47.85,50.5,40.05,45.3,43.7,44.4,53.7,29.1,31.5,29.8,39.0,39.55,50.1,34.1,1.0,1610612737,Atlanta Hawks,2016-17,Atlanta Hawks,20
44.6,32.2,74.05,0.43229999999999996,8.65,24.0,0.36805,15.9,21.65,0.7339,8.45,31.4,39.85,16.2,13.8,6.6,3.9,4.75,19.9,20.4,88.95,-0.05,1.0,28.0,28.0,28.0,39.95,60.6,58.05,57.4,49.4,53.35,46.6,49.25,50.0,47.35,48.35,51.8,56.75,62.4,43.3,41.95,49.75,51.15,48.5,42.05,62.4,50.55,1.0,1610612762,Utah Jazz,2016-17,Utah Jazz,20
46.5,37.2,83.8,0.4423000000000001,8.1,23.95,0.34075000000000005,17.45,24.4,0.72485,10.95,33.1,44.05,20.35,16.15,8.25,4.4,5.8,20.85,21.75,99.95,2.85,1.0,21.4,21.4,21.4,24.75,47.95,44.45,48.35,43.4,48.6,40.5,50.7,49.2,46.8,48.45,45.9,51.05,43.6,49.1,37.55,42.9,42.65,42.45,42.65,52.8,40.0,1.0,1610612760,Oklahoma City Thunder,2016-17,Oklahoma City Thunder,20
46.25,36.45,83.8,0.4354,8.0,25.05,0.31955,15.4,20.3,0.7507499999999999,11.0,32.6,43.6,21.5,13.65,8.55,4.7,5.5,22.2,19.15,96.3,-1.65,1.0,26.8,26.8,26.8,24.3,48.15,32.95,56.25,44.05,35.5,54.55,49.05,49.3,47.0,27.5,34.15,28.95,50.45,38.15,36.8,43.95,47.0,49.7,43.25,52.1,45.45,1.0,1610612749,Milwaukee Bucks,2016-17,Milwaukee Bucks,20
