TEAM_ID,Season,TARGET_WIN_PCT,MADE_PLAYOFFS,ADV_ROUND1,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,AVAILABLE_FLAG
1610612737,2016-17,0.524,1.0,0.0,45.6,35.85,78.05,0.45675,8.55,24.65,0.34425,16.55,23.45,0.7070000000000001,10.25,33.05,43.3,22.35,17.9,9.8,5.35,4.2,18.0,21.85,96.8,1.0
1610612762,2016-17,0.622,1.0,0.0,44.6,32.2,74.05,0.4322999999999999,8.65,24.0,0.36805,15.9,21.65,0.7339,8.45,31.4,39.85,16.2,13.8,6.6,3.9,4.75,19.9,20.4,88.95,1.0
1610612760,2016-17,0.573,1.0,0.0,46.5,37.2,83.8,0.4423000000000001,8.1,23.95,0.34075,17.45,24.4,0.72485,10.95,33.1,44.05,20.35,16.15,8.25,4.4,5.8,20.85,21.75,99.95,1.0
1610612749,2016-17,0.512,1.0,0.0,46.25,36.45,83.8,0.4354,8.0,25.05,0.31955,15.4,20.3,0.7507499999999999,11.0,32.6,43.6,21.5,13.65,8.55,4.7,5.5,22.2,19.15,96.3,1.0
1610612754,2016-17,0.512,1.0,0.0,47.0,37.7,82.8,0.4580499999999999,7.55,21.1,0.3538,15.25,20.35,0.75105,9.5,32.45,41.95,21.45,16.1,8.65,5.9,5.1,20.4,19.85,98.2,1.0
1610612763,2016-17,0.524,1.0,0.0,47.0,33.2,79.2,0.41965,8.0,25.1,0.31495,19.5,25.45,0.7655000000000001,10.25,30.45,40.7,17.75,15.05,8.8,5.0,5.35,24.55,23.1,93.9,1.0
1610612757,2016-17,0.5,1.0,0.0,46.95,36.2,82.25,0.4397999999999999,10.05,29.4,0.3404999999999999,17.95,23.15,0.7738,8.2,32.25,40.45,19.2,14.35,7.05,4.8,4.0,22.7,20.4,100.4,1.0
1610612741,2016-17,0.5,1.0,0.0,45.3,35.5,82.95,0.4276000000000001,6.95,21.9,0.3168499999999999,18.6,22.75,0.81555,13.55,32.1,45.65,18.8,12.95,7.75,3.9,4.7,18.75,19.45,96.55,1.0
1610612743,2016-17,0.488,0.0,0.0,46.6,36.15,83.65,0.4344499999999999,7.85,23.5,0.33405,20.15,27.15,0.74725,12.75,35.4,48.15,18.95,15.55,6.75,4.2,5.15,20.85,23.35,100.3,1.0
1610612748,2016-17,0.5,0.0,0.0,43.85,30.95,75.55,0.40725,8.5,23.95,0.33995,14.1,20.0,0.70935,9.4,28.05,37.45,16.75,13.8,9.0,4.65,3.95,21.05,20.25,84.5,1.0
